"household_id","individual_id","sex","age","age_p","married","form_married","nev_married","disability","religion","literacy","educ","work","member_r0","head_r0","relation_r0","relation_os_r0","member_r1","head_r1","respond_r1","relation_r1","relation_os_r1","member_r2","head_r2","respond_r2","relation_r2","relation_os_r2","member_r3","head_r3","respond_r3","relation_r3","relation_os_r3","member_r4","head_r4","respond_r4","relation_r4","relation_os_r4","member_r5","head_r5","respond_r5","relation_r5","relation_os_r5","member_r6","head_r6","respond_r6","relation_r6","relation_os_r6","member_r7","head_r7","respond_r7","relation_r7","relation_os_r7","member_r8","head_r8","respond_r8","relation_r8","relation_os_r8","member_r9","head_r9","respond_r9","relation_r9","relation_os_r9","member_r10","head_r10","respond_r10","relation_r10","relation_os_r10"
"031401088800203068",2,2,68,,1,0,0,0,1,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800203068",3,1,24,,0,0,1,0,1,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800203068",4,1,27,,0,0,1,0,1,1,2,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800203068",5,1,15,,0,0,1,0,1,1,1,1,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800203078",1,2,50,,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800203078",2,1,65,,1,0,0,0,1,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800203078",3,1,18,,0,0,1,0,1,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800203078",5,2,15,,0,0,1,0,3,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800203088",1,1,55,56,1,0,0,0,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,
"031401088800203088",2,2,43,49,1,0,0,1,1,0,0,1,1,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,
"031401088800203088",3,2,20,23,0,0,1,0,1,1,1,1,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800203088",4,1,18,20,0,0,1,0,1,1,1,1,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800203088",5,1,13,14,0,0,1,0,1,1,1,1,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800203088",6,1,15,17,0,0,1,0,1,1,1,1,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800203098",1,1,32,,1,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800203098",2,2,28,,1,0,0,0,1,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800203098",3,2,14,,0,0,1,0,1,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800203098",4,2,10,,0,0,1,0,1,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800203098",5,1,8,,0,0,0,0,,0,0,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800203098",6,1,1,,0,0,0,,,,,,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709005",1,1,44,44,1,0,0,0,1,0,0,1,1,1,1,,1,1,0,1,,1,1,0,1,,1,1,0,1,,1,1,0,1,,1,1,0,1,,1,1,0,1,,1,1,0,1,,1,1,0,1,,1,1,0,1,,1,1,0,1,
"031401088800709005",2,2,34,35,1,0,0,0,1,0,0,1,1,0,2,,1,0,0,3,,1,0,0,3,,1,0,1,3,,1,0,1,3,,1,0,1,3,,1,0,1,3,,1,0,1,3,,1,0,1,3,,1,0,1,3,,1,0,1,3,
"031401088800709005",3,2,15,15,0,0,1,0,1,1,1,0,1,0,3,,1,0,1,3,,1,0,1,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800709005",4,2,10,11,0,0,1,0,1,1,1,1,1,0,3,,1,0,0,7,,1,0,0,7,,1,0,0,7,,1,0,0,7,,1,0,0,7,,1,0,0,7,,1,0,0,7,,1,0,0,7,,1,0,0,7,,1,0,0,7,
"031401088800709005",5,1,4,5,0,0,0,,,0,0,,1,0,3,,1,0,0,7,,1,0,0,7,,1,0,0,7,,1,0,0,7,,1,0,0,7,,1,0,0,7,,1,0,0,7,,1,0,0,7,,1,0,0,7,,1,0,0,7,
"031401088800709005",6,1,,0,,,,,,,,,0,0,,,1,0,0,6,,1,0,0,6,,1,0,0,6,,1,0,0,6,,1,0,0,6,,1,0,0,6,,1,0,0,6,,1,0,0,6,,1,0,0,6,,1,0,0,6,
"031401088800709013",3,1,53,,1,0,0,0,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709013",4,2,45,,1,0,0,0,1,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709013",6,1,17,,0,0,1,0,1,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709013",7,1,15,,0,0,1,0,1,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709013",8,1,11,,0,0,1,0,1,0,0,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709013",9,2,3,,0,0,0,,,,,,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709013",11,1,20,,0,0,1,0,1,1,2,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709021",1,1,38,39,1,0,0,0,1,1,2,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,
"031401088800709021",2,2,28,29,1,0,0,0,1,1,2,1,1,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,
"031401088800709021",3,2,5,6,0,0,0,,,0,0,,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800709021",4,1,0,1,0,0,0,,,,,,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800709021",5,2,,0,,,,,,,,,0,0,,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800709029",1,1,61,,1,0,0,0,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709029",2,2,50,,1,0,0,0,1,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709029",3,1,30,,0,0,1,0,1,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709029",4,1,24,,0,0,1,0,1,1,2,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709029",5,2,24,,0,0,1,0,1,1,2,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709029",6,1,22,,0,0,1,0,1,1,2,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709029",7,1,28,,0,0,1,0,1,1,3,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709037",2,2,70,60,0,1,0,0,1,0,0,1,1,1,1,,1,1,0,1,,1,1,0,1,,1,1,0,1,,1,1,0,1,,1,1,0,1,,1,1,0,1,,1,1,0,1,,1,1,0,1,,1,1,0,1,,1,1,0,1,
"031401088800709037",3,2,39,36,0,1,0,0,1,1,3,1,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800709037",4,2,7,13,0,0,0,0,,1,1,0,1,0,4,,1,0,0,4,,1,0,0,4,,1,0,0,4,,1,0,0,4,,1,0,0,4,,1,0,0,4,,1,0,0,4,,1,0,0,4,,1,0,0,4,,1,0,0,4,
"031401088800709037",5,1,36,28,0,0,1,0,1,1,3,1,1,0,3,,1,0,1,3,,1,0,1,3,,1,0,1,3,,1,0,1,3,,1,0,1,3,,1,0,1,3,,1,0,1,3,,1,0,1,3,,1,0,1,3,,1,0,1,3,
"031401088800709037",6,1,26,24,0,0,1,0,1,1,1,0,1,0,8,,1,0,0,8,,1,0,0,8,,1,0,0,8,,1,0,0,8,,1,0,0,8,,1,0,0,8,,1,0,0,8,,1,0,0,8,,1,0,0,8,,1,0,0,8,
"031401088800709037",7,1,17,17,0,0,1,0,1,1,1,1,1,0,4,,1,0,0,4,,1,0,0,4,,1,0,0,4,,1,0,0,4,,1,0,0,4,,1,0,0,4,,1,0,0,4,,1,0,0,4,,1,0,0,4,,1,0,0,4,
"031401088800709037",8,1,9,9,0,0,0,0,,1,0,0,1,0,4,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
"031401088800709045",1,1,43,45,1,0,0,0,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,
"031401088800709045",2,2,31,35,1,0,0,0,1,0,0,1,1,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,
"031401088800709045",3,1,16,18,0,0,1,0,1,1,1,1,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800709045",4,1,11,16,0,0,1,0,1,1,1,1,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800709045",5,1,9,12,0,0,0,1,,0,0,0,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800709045",6,2,5,9,0,0,0,,,0,0,,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800709045",7,1,1,5,0,0,0,,,,,,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800709053",1,1,57,59,1,0,0,0,1,1,0,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,
"031401088800709053",2,2,45,50,1,0,0,0,1,0,0,0,1,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,,1,0,0,2,
"031401088800709053",3,2,23,25,0,0,1,0,1,1,1,0,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800709053",4,1,18,22,0,0,1,0,1,1,1,1,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800709053",5,2,15,19,0,0,1,0,1,1,1,1,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800709053",6,1,12,16,0,0,1,0,1,1,1,1,1,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800709053",7,1,16,16,0,0,0,,,0,0,0,1,0,14,,1,0,0,14,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
"031401088800709053",9,2,,32,,,,,,,,,0,0,,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800709053",10,2,,29,,,,,,,,,0,0,,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031401088800709061",1,1,53,53,1,0,0,0,1,0,0,1,1,1,1,,1,1,0,1,,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709061",2,2,40,40,1,0,0,0,1,0,0,1,1,0,2,,1,0,0,2,,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709061",3,1,27,27,0,0,1,0,1,1,3,1,1,0,3,,1,0,1,3,,1,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709061",4,1,24,24,0,0,1,0,1,1,1,1,1,0,3,,1,0,0,3,,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709061",5,1,19,19,0,0,1,0,1,1,2,1,1,0,3,,1,0,0,3,,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709061",6,2,17,17,0,0,1,0,1,1,1,1,1,0,3,,1,0,0,3,,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709061",7,2,15,15,0,0,1,0,1,1,1,0,1,0,3,,1,0,0,3,,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709061",8,2,6,6,0,0,0,0,,0,0,,1,0,3,,1,0,0,3,,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709061",9,1,1,1,0,0,0,,,,,,1,0,3,,1,0,0,3,,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709061",10,1,15,15,0,0,1,0,1,1,1,1,1,0,14,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709069",1,1,48,,1,0,0,0,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709069",2,2,40,,1,0,0,0,1,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709069",3,1,20,,0,0,1,0,1,1,2,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709069",4,1,19,,0,0,1,0,3,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709069",5,2,13,,0,0,1,0,1,1,1,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709069",6,2,9,,0,0,0,0,,0,1,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709069",7,2,15,,0,0,1,0,1,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031401088800709077",1,1,44,,0,1,0,0,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031405010100309004",1,2,,41,,,,,,,,,0,0,,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,
"031405010100309004",2,1,,22,,,,,,,,,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
"031405010100309004",4,1,,16,,,,,,,,,0,0,,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031405010100309004",6,2,,25,,,,,,,,,0,0,,,1,0,0,5,,1,0,0,5,,1,0,0,5,,1,0,0,5,,1,0,0,5,,1,0,0,5,,1,0,0,5,,1,0,0,5,,1,0,0,5,,1,0,0,5,
"031405010100309004",7,1,,27,,,,,,,,,0,0,,,1,0,0,6,,1,0,0,6,,1,0,0,6,,1,0,0,6,,1,0,0,6,,1,0,0,6,,1,0,0,6,,1,0,0,6,,1,0,0,6,,1,0,0,6,
"031405010100309004",8,1,,24,,,,,,,,,0,0,,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031405010100309004",9,1,,21,,,,,,,,,0,0,,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031405010100309004",10,2,,70,,,,,,,,,0,0,,,1,0,0,5,,1,0,0,5,,1,0,0,5,,1,0,0,5,,0,0,0,,,1,0,0,5,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
"031405010100309004",11,2,,8,,,,,,,,,0,0,,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
"031405010100309004",12,2,,40,,,,,,,,,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,,1,0,0,3,
